NAME,,B25040_004E,B25040_001E,Electric Ratio,B25040_001M,B25040_002E,B25040_002M,B25040_003E,B25040_003M,B25040_004M,B25040_005E,B25040_005M,B25040_006E,B25040_006M,B25040_007E,B25040_007M,B25040_008E,B25040_008M,B25040_009E,B25040_009M,B25040_010E,B25040_010M,,,,
Geographic,Area,Estimate!!Total!!Electricity,Estimate!!Total,,Margin of Error!!Total,Estimate!!Total!!Utility gas,Margin of Error!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas",Margin of Error!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Margin of Error!!Total!!Coal or coke,Estimate!!Total!!Wood,Margin of Error!!Total!!Wood,Estimate!!Total!!Solar energy,Margin of Error!!Total!!Solar energy,Estimate!!Total!!Other fuel,Margin of Error!!Total!!Other fuel,Estimate!!Total!!No fuel used,Margin of Error!!Total!!No fuel used,Name,,,
Abingdon,"city,",181,1422,0.127285513,119,1146,121,63,37,73,0,119,0,119,20,23,0,119,12,19,0,119,Illinois,,,
Adair,"CDP,",15,78,0.192307692,33,63,36,0,119,16,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Addieville,"village,",23,117,0.196581197,24,88,23,2,3,16,2,3,0,119,0,119,0,119,0,119,2,3,Illinois,,,
Addison,"village,",1475,12086,0.122042032,358,10463,411,71,57,295,44,35,0,119,0,119,0,119,0,119,33,31,Illinois,,,
Adeline,"village,",0,41,0,12,39,13,2,4,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Albany,"village,",14,325,0.043076923,53,306,52,2,4,9,0,119,0,119,3,4,0,119,0,119,0,119,Illinois,,,
Albers,"village,",53,355,0.149295775,55,278,51,24,15,25,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Albion,"city,",174,897,0.193979933,86,699,100,11,13,52,7,11,0,119,6,9,0,119,0,119,0,119,Illinois,,,
Aledo,"city,",127,1486,0.085464334,121,1352,123,0,119,68,7,11,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Alexis,"village,",48,417,0.115107914,68,347,70,7,11,27,0,119,0,119,0,119,0,119,11,10,4,6,Illinois,,,
Algonquin,"village,",311,9891,0.031442726,230,9531,250,31,38,117,0,119,0,119,0,119,0,119,18,27,0,119,Illinois,,,
Alhambra,"village,",49,253,0.193675889,41,169,35,31,20,28,4,6,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Allendale,"village,",46,190,0.242105263,42,127,33,12,18,27,0,119,0,119,3,5,0,119,2,3,0,119,Illinois,,,
Allenville,"village,",19,51,0.37254902,21,7,8,24,16,13,0,119,0,119,0,119,0,119,1,2,0,119,Illinois,,,
Allerton,"village,",11,103,0.106796117,34,78,30,14,12,13,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Alma,"village,",18,144,0.125,31,115,26,11,15,11,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Alorton,"village,",297,717,0.414225941,128,407,101,3,8,71,0,119,0,119,10,15,0,119,0,119,0,119,Illinois,,,
Alpha,"village,",17,300,0.056666667,48,283,46,0,119,13,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Alsey,"village,",14,105,0.133333333,28,85,28,0,119,10,0,119,0,119,6,7,0,119,0,119,0,119,Illinois,,,
Alsip,"village,",1019,7369,0.138281992,268,6251,305,37,35,199,0,119,0,119,0,119,0,119,62,49,0,119,Illinois,,,
Altamont,"city,",23,874,0.026315789,107,842,107,5,8,16,0,119,0,119,4,7,0,119,0,119,0,119,Illinois,,,
Alton,"city,",2716,11514,0.235886747,392,8539,359,105,61,330,75,48,0,119,29,30,16,25,10,12,24,36,Illinois,,,
Altona,"village,",31,226,0.137168142,42,177,45,11,10,15,0,119,0,119,3,5,0,119,0,119,4,5,Illinois,,,
Alto,Pass,57,153,0.37254902,42,10,12,76,26,25,0,119,0,119,8,13,0,119,2,4,0,119,"village,",Illinois,,
Alvan,"village,",24,109,0.220183486,26,85,26,0,119,15,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Amboy,"city,",223,887,0.251409245,147,645,121,5,8,76,0,119,0,119,14,17,0,119,0,119,0,119,Illinois,,,
Anchor,"village,",0,57,0,23,57,23,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Andalusia,"village,",21,405,0.051851852,65,384,65,0,119,17,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
